assumption_id,sector,description,used_for,status,source_or_reason,review_need
A-MUIO-02,Implementation,"The reserve-capacity proxy uses a reserve margin of 1.0 when the generated ReserveMargin table is empty.",MUIO reserve proxy,Active implementation assumption,"Ports the generated capacity-credit test without inventing a policy margin.","Select and source a Fiji planning reserve margin before adequacy-related use."
A-CAL-01,Calibration,"Observed demand, fleet, weather, fuel prices, and documented outages may be supplied as exogenous historical conditions; generation, fuel use, renewable share, and emissions remain test outputs.",Historical backcast boundary,Planned calibration rule,"Separates legitimate historical conditions from forced outcomes.","Classify every calibration datum as exogenous condition, endogenous target, or history-fixed result."
A-CAL-02,Calibration,"2020–2022 will be used for parameter calibration and 2023–2024 will be held out for validation, subject to evidence alignment.",Historical validation split,Planned calibration rule,"Provides a genuine out-of-sample test with the currently identified evidence.","Do not use held-out outcomes for tuning; record any later exception as a protocol change."
A-CAL-FLEET,Energy calibration,"The documented 2021 aggregate hydro, thermal, wind, and grid-supplying biomass fleet is held constant over 2020–2024; new generation investment is blocked in those years.",Historical installed stock,Active Fiji v2 justified condition,"A complete public annual unit commissioning and retirement register was not found; the 2021 official fleet is the strongest consistent anchor.","Replace with an annual unit register when available; the structural grid conduit PWRTRNFJIXX is excluded from the investment block."
A-CAL-BOUNDARY,Energy calibration,"EFL total generation including IPP purchases is used as the annual ELCFJIXX02 supply requirement.",Historical electricity balance,Active Fiji v2 justified condition,"The one-node model has no explicit station-use or network-loss accounting; gross grid supply is the boundary that aligns with generation categories.","Do not claim demand reproduction; add explicit losses and customer-demand accounting in a later release."
A-CAL-BIO,Energy calibration,"A single effective biomass/IPP availability factor was estimated from mean 2020–2022 IPP generation and the documented 34 MW fleet, then frozen.",Pre-Phase-1D biomass historical availability,Superseded by Phase 1D,"This was the prior aggregate proxy before cane, bagasse and wood-residue generation were separated.","Retained for baseline reconstruction only; do not apply it to the active split technologies."
A-CAL-WIND,Energy calibration,"A low 2020–2024 wind availability ceiling is estimated from mean 2020–2022 output and the documented 9.8 MW Butoni fleet; the inherited value returns from 2025 as an assumed repaired state.",Wind historical outage representation,Active Fiji v2 calibration and future assumption,"Butoni was severely affected by Tropical Cyclone Harold and remained a documented claim/repair issue; public annual output is extremely small.","Calibration-period wind output is H and held-out output is E; percentage errors are not materiality-stable below 1 GWh."
A-CAL-HYD,Energy calibration,"Hydro keeps the inherited wet/dry capacity-factor shape and 0.9 availability without fitting to EFL generation.",Hydro historical test,Active Fiji v2 independence rule,"Preserves an independently testable hydro result after correcting only the documented installed capacity.","Add observed inflow, rainfall, reservoir, and outage drivers rather than tuning to the 2023–2024 generation outcomes."
A-CAL-FUTURE,Energy scenario,"From 2025, the raw electricity-demand trajectory is rebased to observed 2024 grid supply and corrected residual-capacity paths preserve raw retirement ratios.",Future continuity,Superseded for electricity demand by Phase 1C; residual-capacity rule remains active,"Avoided an artificial 2025 discontinuity while preserving the raw growth and retirement shapes.","Retained as the Phase 1B accounting-control trajectory; Phase 1C uses documented sector projections."
A-WTR-PUB-BOUNDARY,Public water,"Public-water service is billed household, government, commercial and carted-water delivery reported by the Fiji Bureau of Statistics.",2020–2024 PUBWATFJI demand,Active Phase 1B justified boundary,"This matches delivered public supply while keeping purification and distribution losses on the raw-water input side.","Reconcile unbilled authorized consumption and any non-WAF public supply before broader water-account claims."
A-WTR-PROFILE,Public water,"Annual public-water demand is allocated to time slices in proportion to YearSplit.",SpecifiedDemandProfile,Active Phase 1B assumption,"Only annual water evidence was retained; a flat annual delivery rate is neutral at the current four-slice resolution.","Replace with seasonal or monthly demand evidence when available."
A-WTR-GW-QUARANTINE,Public water,"The public-groundwater route and its abstraction layer are capped at zero through 2050.",Groundwater source mix,Active Phase 1B precaution,"The 2020–2024 WAF table reports surface abstraction and no Fiji-specific public-groundwater source share or pumping coefficient was retained.","Activate only with source, availability, energy-intensity and emissions evidence."
A-WTR-ELECTRICITY,Public water,"No explicit public-water pumping/treatment electricity input is added in Phase 1B.",Energy-water boundary,Active Phase 1B accounting boundary,"No Fiji-specific intensity was found and gross national grid supply already includes water-sector electricity, so an added input without residual-demand adjustment would double count it.","Estimate water-sector electricity and reconcile it out of residual grid demand before endogenizing pumping or treatment."
A-1C-SERVICE-BOUNDARY,End-use energy,"Inherited AGR/COM/IND/RES/TRA output carriers are treated as sector final-energy interfaces, not as useful-service commodities.",Phase 1C service architecture,Approved design rule; not yet an active parameter,"The inherited energy adapters were not joined to country-specific appliance, process, vehicle or useful-service demands.","Add a useful-service layer only where demand magnitude and conversion evidence pass the carrier register's activation gate."
A-1C-ELECTRICITY-BOUNDARY,End-use electricity,"Sector electricity demand replaces components of direct ELCFJIXX02 demand only when their sum plus losses and an explicit residual equals the gross grid-supply requirement.",Phase 1C anti-double-counting,Active Phase 1C accounting rule,"FBoS provides 2020-2024 customer use, household own generation and distribution losses; the accounting checkpoint proves parity with the previous gross boundary.","Maintain exact annual reconciliation whenever another electricity-using sector is activated."
A-1C-SHARES-NOT-QUANTITY,Residential cooking,"Household or population stove shares are not treated as fuel-energy shares or useful cooking-energy demand.",Residential cooking pilot gate,Approved evidence rule; no active cooking demand,"The Fiji MICS identifies the technology mix but contains no annual PJ magnitude or conversion-efficiency set.","Obtain a defensible cooking-service magnitude, efficiencies, fuel-stacking treatment, biomass boundary, electricity allocation and biogas convention before activation."
A-1C-COM-PROJECTION,Commercial electricity,"Commercial grid electricity grows 2.6% annually after 2024, rebased to the observed 2024 quantity.",2025–2050 COMELCFJIXX02 demand,Active Phase 1C BAU-unconditional assumption,"Government of Fiji LEDS BAU-unconditional commercial electricity assumption.","Parameterize LEDS conditional/high-ambition 2.0% growth and ±10% uncertainty as later scenarios."
A-1C-IND-PROJECTION,Industrial electricity,"Industrial grid electricity grows 2.0% annually after 2024, rebased to the observed 2024 quantity.",2025–2050 INDELCFJIXX02 demand,Active Phase 1C assumption,"Government of Fiji LEDS uses 2.0% industrial grid-electricity growth across its base scenarios.","Test industry-specific activity and grid-connection assumptions when data become available."
A-1C-RES-PROJECTION,Residential electricity,"Central-grid residential demand follows a 2024-normalized household/appliance stock index using household growth, urbanization, urban/rural grid access, appliance uptake and MEPS efficiency turnover.",2025–2050 RESELCFJIXX02 demand,Active Phase 1C bottom-up assumption,"Government of Fiji LEDS household structure and Fiji MICS 2021 central-grid access rates.","Add uncertainty, updated household projections, sector load shapes and explicit end-use service quantities."
A-1C-OVERHEAD,End-use electricity,"Post-2024 direct ELCFJIXX02 demand equals 11.9232103418% of commercial, industrial and residential end use.",Distribution loss plus station-use/boundary overhead,Active Phase 1C accounting assumption,"The factor is the observed/calculated 2024 loss-plus-residual quantity divided by 2024 sector end use.","Separate network loss from station use and boundary residual when independent projections are available."
A-1C-PROFILE,End-use electricity,"All four electricity demand components use the inherited normalized aggregate four-slice profile.",SpecifiedDemandProfile,Active Phase 1C assumption,"No Fiji sector-specific load profiles were retained; using the same profile preserves the accounting-checkpoint peak exactly.","Replace with measured sector profiles and rerun the aggregate reserve-proxy check."
A-1D-STOCK-SPLIT,Cane-bagasse-electricity,"The documented 34 MW grid-supplying biomass stock is represented as 25 MW FSC bagasse cogeneration and 9 MW Tropik Wood residue generation.",Historical biomass fleet,Active Phase 1D justified condition,"The Government of Fiji REI Investment Plan identifies FSC Lautoka 5 MW, FSC Labasa 20 MW and Tropik Wood 9 MW.","Replace the inherited retirement profile with a unit-level commissioning and retirement register when available."
A-1D-CANE-HISTORY,Cane-bagasse-electricity,"FSC cane crushed is the processed-cane service demand for 2020–2024; raw CRPSGC is an intermediate measured in million tonnes.",Historical mill throughput,Active Phase 1D input,"FSC annual operating tables report physical tonnes of cane crushed; the upstream generator divides FAOSTAT crop production by 1,000,000.","Sugar and molasses are retained as checks but are not yet separate model outputs."
A-1D-CANE-FUTURE,Cane-bagasse-electricity,"After 2024, processed cane follows the inherited SSP-shaped cane path rebased to the FSC 2024 actual.",2025–2050 mill throughput,Active Phase 1D scenario assumption,"This removes the inherited 2024 level discontinuity while preserving its post-2024 shape.","Replace with an FSC or agriculture-sector cane outlook and test uncertainty."
A-1D-BAGASSE,Cane-bagasse-electricity,"Exportable bagasse generation uses the IRENA 42 bar, 400°C, 500 kg process-steam-per-tonne-cane, no-straw case of 25.4 kWh exported per tonne cane.",Cane-to-grid electricity coefficient,Active Phase 1D engineering proxy,"No retained Fiji mill-level steam-cycle and parasitic-load dataset was found; the selected IRENA case explicitly accounts for process steam.","Test the full IRENA range and replace with Fiji mill heat-and-power balances when available."
A-1D-WOOD,Cane-bagasse-electricity,"Wood-residue generation is bounded by the mean 2020–2022 residual after subtracting calculated bagasse export from aggregate EFL IPP purchases.",Wood-residue availability and annual resource cap,Active Phase 1D calibration choice,"EFL reports aggregate IPP purchases rather than separate FSC and Tropik output; calibration uses only 2020–2022 and is frozen for 2023–2024.","Obtain plant-level Tropik Wood generation, residue supply and outage records; do not tune this bound to held-out years."
A-1D-ACCOUNTING,Cane-bagasse-electricity,"The Phase 1D accounting control uses an artificial 10 PJ exportable-bagasse output per million tonnes cane solely to keep the diagnostic resource nonbinding.",Structural parity test,Diagnostic only,"The control isolates the structural stock split from physical resource coefficients across the complete horizon.","Never use the diagnostic ratio in the physical case or a scenario result."
