parameter_record_id,model_file,parameter,entity,secondary_entity,mode,scenario,year_start,year_end,value_expression,model_unit,evidence_type,source_ids,calculation_id,assumption_ids,uncertainty,confidence,notes
PAR_FSH_POST_WATER_ELE,RYTCM.json,IAR,TEC_fsh_post_ele,COM_mmv3k,1,SC_0,2020,2050,0.0031318921365820793,km3/PJ service,derived,,CALC_FSH_POST_WATER_IAR,,medium,medium,
PAR_FSH_POST_WATER_SOL,RYTCM.json,IAR,TEC_fsh_post_sol,COM_mmv3k,1,SC_0,2020,2050,0.0031318921365820793,km3/PJ service,derived,,CALC_FSH_POST_WATER_IAR,,medium,medium,
PAR_FSH_ALL_OAR,RYTCM.json,OAR,all seven Fisheries technologies,"COM_fsh_cap; COM_fsh_aq; COM_fsh_post",1,SC_0,2020,2050,1,PJ service/PJ activity,derived,,CALC_FSH_CAPTURE_SERVICE,,low,high,"Each technology outputs exactly one service commodity; the same normalized-output convention is used for all three services."
PAR_FSH_CAP_DSL_RC,RYT.json,RC,TEC_fsh_cap_dsl,,,SC_0,2020,2050,uniform-age series from 0.04786895142857143 to zero by 2035,PJ service/year,estimated,,CALC_FSH_CAPTURE_RC,ASM_FSH_LIVES,high,medium,Generated by retained residual-capacity estimator.
PAR_FSH_AQ_ELE_RC,RYT.json,RC,TEC_fsh_aq_ele,,,SC_0,2020,2050,uniform-age series from 0.000009736605 to zero by 2032,PJ service/year,estimated,,CALC_FSH_AQ_RC,ASM_FSH_LIVES,high,low,Generated by retained residual-capacity estimator.
PAR_FSH_POST_ELE_RC,RYT.json,RC,TEC_fsh_post_ele,,,SC_0,2020,2050,uniform-age series from 0.02170240097142857 to zero by 2035,PJ service/year,estimated,,CALC_FSH_POST_ELEC_RC,ASM_FSH_LIVES,high,medium,Generated by retained residual-capacity estimator.
PAR_FSH_POST_DSL_RC,RYT.json,RC,TEC_fsh_post_dsl,,,SC_0,2020,2050,uniform-age series from 0.005787306925714286 to zero by 2035,PJ service/year,estimated,,CALC_FSH_POST_DSL_RC,ASM_FSH_LIVES,high,medium,Generated by retained residual-capacity estimator.
PAR_FSH_POST_SOL_RC,RYT.json,RC,TEC_fsh_post_sol,,,SC_0,2020,2050,uniform-age series from 0.0000504576 to zero by 2030,PJ service/year,estimated,,CALC_FSH_SOLAR_RC,ASM_FSH_LIVES;ASM_FSH_SOLAR_FREEZER,high,low,Generated by retained residual-capacity estimator.
PAR_FSH_COSTS,RYT.json,"CC; FC",all seven Fisheries technologies,,,SC_0,2020,2050,technology-specific schedule from CALC_FSH_CAPEX,million USD/PJ/year; million USD/PJ/year/year,estimated,,CALC_FSH_CAPEX,ASM_FSH_CAPEX,high,low,"Carrier costs are endogenous upstream; RYTM variable cost is zero."
PAR_FSH_AF,RYT.json,AF,all seven Fisheries technologies,,,SC_0,2020,2050,"capture/aq=0.90; post=0.95",fraction,estimated,,CALC_FSH_CAPEX,ASM_FSH_AVAILABILITY,medium,low,"Technical availability only; historical utilization is not encoded here."
PAR_FSH_LIFE,RT.json,OL,all seven Fisheries technologies,,,SC_0,2020,2050,"capture=15; aq=12; post diesel/electric=15; post solar=10",years,estimated,,CALC_FSH_CAPEX,ASM_FSH_LIVES,medium,low,
PAR_FSH_CAU,RT.json,CAU,all seven Fisheries technologies,,,SC_0,2020,2050,1,activity per capacity-year,derived,,CALC_FSH_CAPTURE_RC,,low,high,Capacity unit is PJ useful service/year.
PAR_FSH_CO2,RYTEM.json,EAR,"TEC_fsh_cap_dsl; TEC_fsh_aq_dsl; TEC_fsh_post_dsl",EMI_0,1,SC_0,2020,2050,"0.247; 0.247; 0.092625",Mt CO2/PJ service,derived,,CALC_FSH_CO2,,medium,medium,Direct combustion emissions only; grid emissions remain upstream.
PAR_FSH_OPEN_BOUNDS,RYT.json,"TAL; TAU; TAMinC; TAMaxC; TAMinCI; TAMaxCI",all seven Fisheries technologies,,,SC_0,2020,2050,"0; 999999; 0; 999999; 0; 999999",model units,derived,SRC_FSH_FIJI_V26,CALC_FSH_CAPEX,,low,high,"No exact activity bound, positive minimum, carrier share, staged opening, or UDC."
PAR_FSH_CAPTURE_AGR_SAD_CORR,RYC.json,SAD,COM_x6kh9,,,SC_0,2020,2050,baseline - 0.027923555,PJ service,derived,,CALC_FSH_CAPTURE_BOUNDARY,,medium,high,Removes capture diesel represented in the agriculture/forestry/fishing aggregate.
PAR_FSH_CAPTURE_AGR_PIN_CORR,RYT.json,"TAL; TAU",TEC_s2z92,,,SC_0,2020,2023,baseline - 0.11169422,PJ activity,derived,,CALC_FSH_CAPTURE_ENERGY,,medium,high,Updates only existing observed-year aggregate diesel boundary; Fisheries technologies remain unpinned.
PAR_FSH_POST_IND_SAD_CORR,RYC.json,SAD,COM_sb105,,,SC_0,2020,2050,baseline - 0.004051114848,PJ service,derived,,CALC_FSH_POST_DSL_BOUNDARY,,medium,high,Removes processing diesel service from industry heat.
PAR_FSH_POST_IND_PIN_CORR,RYT.json,"TAL; TAU",TEC_tfgsb,,,SC_0,2020,2023,baseline - 0.00506389356,PJ activity,derived,,CALC_FSH_POST_ENERGY,ASM_FSH_POST_MIX_EFF,medium,high,Updates only existing observed-year aggregate diesel boundary.
PAR_FSH_POST_ELEC_CORR,RYC.json,SAD,COM_9ek33,,,SC_0,2020,2050,baseline - 0.02025557424,PJ electricity,derived,,CALC_FSH_POST_ENERGY,ASM_FSH_POST_MIX_EFF,medium,high,Removes processing electricity from direct industry electricity demand.
PAR_FSH_AQ_GRID_CORR,RYC.json,SAD,COM_3drm3,,,SC_0,2020,2050,baseline - aquaculture final electricity trajectory,PJ electricity,derived,,CALC_FSH_AQ_INPUT,ASM_FSH_AQ_GROWTH,high,medium,Removes aquaculture electricity from the national direct grid boundary.
PAR_FSH_WATER_CORR,RYC.json,SAD,COM_mmv3k,,,SC_0,2020,2024,baseline - 0.00006026636,km3,derived,,CALC_FSH_POST_WATER,,medium,medium,"After 2024 baseline public-water SAD is zero, so no subtraction is possible; the fisheries water input remains explicit."
