assumption_id,statement,central_value,unit,evidence_source_ids,lower_bound,upper_bound,rationale,notes
ASM_EFFICIENCY_CKRESBIO,Engineering conversion efficiency for CKRESBIO using RESBIO.,0.18,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_CKRESLPG,Engineering conversion efficiency for CKRESLPG using RESLPG.,0.5,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_CKRESKER,Engineering conversion efficiency for CKRESKER using RESKER.,0.4,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_CKRESELC,Engineering conversion efficiency for CKRESELC using RESELCFJIXX02.,0.85,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_CKRESELC,Maximum annual service share for CKRESELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.01,""2030"":0.1,""2040"":0.3,""2050"":0.6}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_ROAD_MOBILITY,Future road mobility demand grows annually at the Phase 1J central rate.,0.02,fraction/year,SRC_FIJI_PHASE1J,0.01,0.03,,
ASM_EFFICIENCY_MOBROADGSL,Engineering conversion efficiency for MOBROADGSL using TRAGSL.,0.22,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOBROADDSL,Engineering conversion efficiency for MOBROADDSL using TRADSL.,0.28,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOBROADELC,Engineering conversion efficiency for MOBROADELC using TRAELCFJIXX02.,0.78,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_MOBROADELC,Maximum annual service share for MOBROADELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.01,""2030"":0.1,""2040"":0.4,""2050"":0.8}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_DOMESTIC_AVIATION,Future domestic aviation demand grows annually at the Phase 1J central rate.,0.03,fraction/year,SRC_FIJI_PHASE1J,0.01,0.05,,
ASM_EFFICIENCY_MOBAVIKER,Engineering conversion efficiency for MOBAVIKER using TRAKER.,0.35,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_SERVICE_GROWTH_DOMESTIC_NAVIGATION,Future domestic navigation demand grows annually at the Phase 1J central rate.,0.02,fraction/year,SRC_FIJI_PHASE1J,0.0,0.04,,
ASM_EFFICIENCY_MOBNAVGSL,Engineering conversion efficiency for MOBNAVGSL using GSL.,0.22,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOBNAVDSL,Engineering conversion efficiency for MOBNAVDSL using DSL.,0.3,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOBNAVELC,Engineering conversion efficiency for MOBNAVELC using TRAELCFJIXX02.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_MOBNAVELC,Maximum annual service share for MOBNAVELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.0,""2030"":0.02,""2040"":0.15,""2050"":0.4}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_RAIL_MOBILITY,Future rail mobility demand grows annually at the Phase 1J central rate.,0.0,fraction/year,SRC_FIJI_PHASE1J,-0.005,0.01,,
ASM_EFFICIENCY_MOBRAILDSL,Engineering conversion efficiency for MOBRAILDSL using DSL.,0.3,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOBRAILELC,Engineering conversion efficiency for MOBRAILELC using TRAELCFJIXX02.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_MOBRAILELC,Maximum annual service share for MOBRAILELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.0,""2030"":0.1,""2040"":0.5,""2050"":0.9}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_INDUSTRIAL_PROCESS_HEAT,Future industrial process heat demand grows annually at the Phase 1J central rate.,0.015,fraction/year,SRC_FIJI_PHASE1J,0.005,0.025,,
ASM_EFFICIENCY_HTINDDSL,Engineering conversion efficiency for HTINDDSL using INDDSL.,0.8,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTINDHFO,Engineering conversion efficiency for HTINDHFO using INDHFO.,0.8,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTINDBIO,Engineering conversion efficiency for HTINDBIO using INDBIO.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTINDLPG,Engineering conversion efficiency for HTINDLPG using INDLPG.,0.85,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTINDKER,Engineering conversion efficiency for HTINDKER using INDKER.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTINDELC,Engineering conversion efficiency for HTINDELC using INDELCFJIXX02.,0.95,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_HTINDELC,Maximum annual service share for HTINDELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.05,""2030"":0.2,""2040"":0.5,""2050"":0.8}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_COMMERCIAL_PUBLIC_HEAT,Future commercial public heat demand grows annually at the Phase 1J central rate.,0.02,fraction/year,SRC_FIJI_PHASE1J,0.01,0.03,,
ASM_EFFICIENCY_HTCOMLPG,Engineering conversion efficiency for HTCOMLPG using COMLPG.,0.85,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTCOMBIO,Engineering conversion efficiency for HTCOMBIO using COMBIO.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTCOMDSL,Engineering conversion efficiency for HTCOMDSL using COMDSL.,0.8,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTCOMKER,Engineering conversion efficiency for HTCOMKER using COMKER.,0.7,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_HTCOMELC,Engineering conversion efficiency for HTCOMELC using COMELCFJIXX02.,0.95,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_HTCOMELC,Maximum annual service share for HTCOMELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.1,""2030"":0.3,""2040"":0.7,""2050"":0.9}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_SERVICE_GROWTH_AGRICULTURE_MOTIVE_HEAT,Future agriculture motive heat demand grows annually at the Phase 1J central rate.,0.01,fraction/year,SRC_FIJI_PHASE1J,0.0,0.02,,
ASM_EFFICIENCY_MOTAGRDSL,Engineering conversion efficiency for MOTAGRDSL using AGRDSL.,0.25,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_EFFICIENCY_MOTAGRELC,Engineering conversion efficiency for MOTAGRELC using AGRELCFJIXX02.,0.75,service unit/carrier unit,SRC_FIJI_PHASE1J,,,Transparent public-data engineering proxy; not a measured Fiji device/fleet efficiency.,
ASM_ADOPTION_MOTAGRELC,Maximum annual service share for MOTAGRELC follows the Phase 1J piecewise adoption envelope.,"{""2024"":0.05,""2030"":0.2,""2040"":0.6,""2050"":0.9}",fraction of annual service,SRC_FIJI_PHASE1J SRC_FIJI_LEDS,,,,
ASM_PRICE_IMPHFO,Future variable-cost proxy for IMPHFO: 0.85 × the 2023 EFL delivered-liquid-fuel anchor.,16.2,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,11.34,21.06,,
ASM_PRICE_IMPDSL,Future variable-cost proxy for IMPDSL: 1.05 × the 2023 EFL delivered-liquid-fuel anchor.,20.0,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,14.0,26.0,,
ASM_PRICE_IMPKER,Future variable-cost proxy for IMPKER: 1.05 × the 2023 EFL delivered-liquid-fuel anchor.,20.0,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,14.0,26.0,,
ASM_PRICE_IMPGSL,Future variable-cost proxy for IMPGSL: 1.10 × the 2023 EFL delivered-liquid-fuel anchor.,21.0,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,14.7,27.3,,
ASM_PRICE_IMPLPG,Future variable-cost proxy for IMPLPG: 1.15 × the 2023 EFL delivered-liquid-fuel anchor.,22.0,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,15.4,28.6,,
ASM_PRICE_RNWBIO,Future variable-cost proxy for RNWBIO: transparent public-data biomass supply-cost proxy.,6.0,USD/GJ,SRC_FIJI_PHASE1J SRC_EFL_ANNUAL,3.0,9.0,,
ASM_PRECIP_2020_MODEL_BASE,The existing 2020 Fiji_v2.6 precipitation coefficient is retained as the model baseline rather than replacing it with the CCKP historical climatology.,1.0,dimensionless multiplier,SRC_FIJI_V25_CASE SRC_WB_CCKP_CMIP6_FJI_PR,1.0,1.0,Preserves the calibrated model starting point while applying only the sourced relative climate signal.,
ASM_PRECIP_SSP245_MEDIAN,SC_0 uses the CCKP CMIP6 SSP2-4.5 ensemble-median annual precipitation anomaly; p10 and p90 are retained as uncertainty evidence but are not forced into the central run.,median,ensemble quantile,SRC_WB_CCKP_CMIP6_FJI_PR SRC_COPERNICUS_CMIP6_SCENARIOS,p10,p90,Central scenario requested by the user; sensitivity cases remain a disclosed extension.,
ASM_PRECIP_PERIOD_MIDPOINTS,The 2020-2039 climatology is anchored at model year 2030 and the 2040-2059 climatology at model year 2050; annual multipliers are linearly interpolated from 2020.,2030 and 2050,model year,SRC_WB_CCKP_CMIP6_FJI_PR,2020,2050,CCKP publishes period climatologies rather than deterministic annual forecasts.,No interannual variability is implied.
ASM_HYDROLOGY_PROPORTIONAL_SSP245,"Each annual precipitation multiplier is also applied to inherited evapotranspiration, groundwater-recharge and surface-runoff OARs for every national land technology.",same annual multiplier,dimensionless,SRC_WB_CCKP_CMIP6_FJI_PR SRC_FIJI_V25_CASE,,,Preserves the inherited hydrological partition and keeps precipitation physically linked to ENV_WATER.,This is a transparent response assumption rather than a calibrated rainfall-runoff model.
ASM_FSH_CAPTURE_FLAT,2020 capture service is carried flat through 2050,0,annual growth rate,SRC_FSH_FIJI_MOF_AR2020_21,-0.01,0.01,Avoids an unsupported fishing expansion target.,Sensitivity required.
ASM_FSH_CAPTURE_EFF,Diesel/electric capture efficiencies are 0.30/0.75,diesel=0.30; electric=0.75,output/input,SRC_FSH_FIJI_V26,0.20,0.85,Diesel matches existing navigation convention; electric is an engineering prior.,
ASM_FSH_CAPTURE_UTIL,Capture residual stock uses 70% historical utilization,0.70,fraction,SRC_FSH_FIJI_MOF_AR2020_21,0.40,0.90,Separates stock sizing from technical availability.,
ASM_FSH_AQ_ENERGY,Aquaculture operations use 0.5 kWh/kg harvest,0.5,kWh/kg,SRC_FSH_FIJI_MOF_AR2020_21,0.1,5.0,No Fiji facility energy series is published.,
ASM_FSH_AQ_GROWTH,Aquaculture service grows 5% per year,0.05,annual growth rate,SRC_FSH_FIJI_MOF_AR2020_21 SRC_FSH_FIJI_SDP2019_29,0,0.10,Analytical trajectory distinct from policy goals.,
ASM_FSH_AQ_EFF,Diesel/electric aquaculture efficiencies are 0.30/0.75,diesel=0.30; electric=0.75,output/input,SRC_FSH_FIJI_V26,0.20,0.85,Engineering prior with no carrier share constraint.,
ASM_FSH_AQ_UTIL,Aquaculture residual stock uses 60% historical utilization,0.60,fraction,SRC_FSH_FIJI_MOF_AR2020_21,0.30,0.90,Separates stock sizing from technical availability.,
ASM_FSH_POST_SHARE,Half of offshore longline catch enters modeled post-harvest,0.50,fraction,SRC_FSH_FIJI_MOF_AR2020_21,0.25,1.00,No complete Fiji processor throughput split is published.,
ASM_FSH_POST_MIX_EFF,Residual-stock mix is 80% electricity/20% diesel with efficiencies 0.75/0.80,0.80;0.20;0.75;0.80,fractions,SRC_FSH_FAO_PROCESS,0.60,0.95,The mix sizes stock only and does not constrain dispatch.,
ASM_FSH_POST_FLAT,2020 post-harvest service is carried flat through 2050,0,annual growth rate,SRC_FSH_FIJI_MOF_AR2020_21,-0.01,0.01,Avoids an unsupported processing target.,
ASM_FSH_POST_UTIL,Post-harvest residual stock uses 70% historical utilization,0.70,fraction,SRC_FSH_FIJI_MOF_AR2020_21,0.40,0.90,Residual equipment may idle.,
ASM_FSH_SOLAR_FREEZER,Four solar freezers use 0.2 kW each and COP 2.0,0.2;2.0,kW; COP,SRC_FSH_FIJI_MOF_AR2020_21,0.1;1.5,0.5;3.0,Official source reports count but not rating.,
ASM_FSH_LIVES,"Capture/post, aquaculture and solar lives are 15, 12 and 10 years",15;12;10,years,SRC_FSH_FIJI_V26,8,20,Uniform-age retirement avoids treating all stock as new in 2020.,
ASM_FSH_AVAILABILITY,Capture/aquaculture availability is 0.90 and post-harvest 0.95,0.90;0.95,fraction,SRC_FSH_FIJI_V26,0.75,1.0,Technical availability is distinct from utilization.,
ASM_FSH_CAPEX,Technology-specific screening capex and fixed O&M schedule,technology-specific,USD/kW and fraction/year,,450,6000,Fiji supplier cost schedules were unavailable.,Full schedule is in fisheries/assumption-register.csv.
ASM_FOOD_WPP_MEDIUM,The UN WPP 2024 medium population variant is the central Fiji population pathway for every year 2020-2050.,medium,UN WPP variant,SRC_FOOD_UN_WPP2024_FJI,,,Uses a complete official annual pathway rather than extrapolating the 2020-2024 observations.,
ASM_FOOD_PER_CAPITA_CONSTANT,Resident food availability per person is held at its 2021-2023 arithmetic mean through 2050.,2021-2023 mean held constant,kg/person/year,SRC_FOOD_FAOSTAT_FBS_FIJI_2021_23 SRC_FOOD_FAOSTAT_SUA_FIJI_2021_23,,,Separates food requirement from drought-sensitive domestic production without inventing a dietary transition.,Food availability is not a nutritional recommendation or observed consumption survey.
ASM_FOOD_TOURISM_EXCLUDED,Tourism is excluded as a separate crop or fish demand.,excluded,boundary choice,,,,Explicit user scope; resident population is the only population driver.,
ASM_CROP_TARO_YAM_PROXY,FAOSTAT Taro food tonnes represent the model CRPYAM taro/yam commodity.,Taro,proxy item,SRC_FOOD_FAOSTAT_SUA_FIJI_2021_23,,,CRPYAM is the existing aggregate root-crop commodity and no new crop commodity is introduced.,
ASM_CROP_OTHER_GROUP_FIXED,CRPOTH retains the six 2020 crop items that exactly reproduce its inherited area and production boundary.,six-item group,commodity boundary,SRC_FAOSTAT_CROPS,,,Keeps resident food and trade on the same existing commodity boundary.,
ASM_CROP_RICE_PADDY_EQUIV,Milled rice is converted to paddy equivalent at 0.68 and the negligible husked-rice flow at 0.80.,0.68;0.80,tonne product/tonne paddy,SRC_FOOD_FAOSTAT_SUA_FIJI_2021_23,0.60,0.85,The 0.68 value is observed in Fiji SUA for 2021-2023; 0.80 is a transparent immaterial screening proxy.,
ASM_CROP_SUGAR_CANE_EQUIV,Raw sugar demand and trade are converted to sugar-cane throughput equivalent at 0.14 tonne raw sugar per tonne cane.,0.14,tonne raw sugar/tonne cane,SRC_FOOD_FAOSTAT_SUA_FIJI_2021_23,0.10,0.18,Matches Fiji SUA raw centrifugal sugar output divided by cane processed in 2021-2023.,
ASM_CROP_COCONUT_ONE_TO_ONE,Selected coconut product trade weights map one-for-one to the existing CRPCON commodity.,1.0,tonne crop equivalent/tonne product,SRC_FOOD_COMTRADE_CROPS_FJI_2025,0.5,1.5,No processed-coconut commodity is added; the approximation is materiality-screened and disclosed.,
ASM_CROP_TRADE_POPULATION_SCALE,The 2025 crop-equivalent import floor and export demand remain constant per resident and scale with population through 2050.,population/2025 population,annual multiplier,SRC_FOOD_UN_WPP2024_FJI SRC_FOOD_COMTRADE_CROPS_FJI_2025,,,"This is an exogenous continuity rule, not a behavioral trade forecast.",
ASM_CROP_IMPORT_BACKSTOP,Each 2025 crop import quantity is a minimum; additional imports remain open so food demand can still be met after a domestic production crash.,minimum floor; open upward,model policy,SRC_FOOD_COMTRADE_CROPS_FJI_2025,,,Preserves the observed import presence without allowing it to erase the domestic sector by construction.,
ASM_CROP_IMPORT_SCREENING_COST,Crop import backstops carry VC=10 as a domestic-first screening penalty rather than a border price.,10,million USD/Mt,SRC_FIJI_V27_SOLVED,3.64,1000,Above the approximately 3.64 undiscounted maximum 2025 crop-balance marginal value in v2.7.,
ASM_FISH_AGGREGATE_MARKET_WEIGHT,All covered fish species and preservation states share one aggregate market-weight commodity.,aggregate,commodity boundary,SRC_FOOD_COMTRADE_FISH_FJI_2025 SRC_FOOD_FAOSTAT_FBS_FIJI_2021_23,,,Enables a transparent national balance without unsupported species/product conversion tables.,
ASM_FISH_RAW_FOOD_ONE_TO_ONE,One tonne of raw landed fish becomes one tonne of market-weight FSHFOOD; processing yield and edible fraction are not modeled.,1.0,Mt FSHFOOD/Mt FSHRAW,,0.5,1.0,Transparent screening convention for an aggregate mass balance.,
ASM_FISH_TRADE_POPULATION_SCALE,The 2025 retained fish import floor and domestic export commitment remain constant per resident and scale with population through 2050.,population/2025 population,annual multiplier,SRC_FOOD_UN_WPP2024_FJI SRC_FOOD_COMTRADE_FISH_FJI_2025,,,"This is an exogenous continuity rule, not a price-responsive trade forecast.",
ASM_FISH_RETAINED_IMPORT_METHOD,"Resident-market fish imports equal the sum by HS heading of max(imports minus reported re-exports, zero).","max(M-RX,0) by HS",kg net weight,SRC_FOOD_COMTRADE_FISH_FJI_2025 SRC_FOOD_FIJI_IMTS_2025,,,Prevents processing and re-export throughput from displacing domestic supply in a non-trade model.,
ASM_FISH_IMPORT_BACKSTOP,The retained fish import quantity is a minimum and additional imports remain open when domestic fish production falls.,minimum floor; open upward,model policy,SRC_FOOD_COMTRADE_FISH_FJI_2025,,,Represents continuity of current imports and food-security response without modeling bilateral trade.,
ASM_FISH_IMPORT_SCREENING_COST,IMPFSHFOOD carries VC=200 as a domestic-first screening penalty rather than a border price.,200,million USD/Mt,SRC_FIJI_V29_VALIDATION,138.737130672,1000,Above the maximum domestic marginal value found in the retained-import VC=1000 pilot and below the rejected provisional penalty.,
ASM_FISH_ACCOUNTING_CAPACITY,The four one-year mass-link/backstop capacities carry CC=1e-6 solely to select minimum feasible accounting capacity.,0.000001,million USD/(Mt/year),,0,0.00001,Avoids arbitrary open-capacity values while having immaterial objective effect.,
ASM_FISH_SERVICE_INTENSITY_FIXED,"The 2020 capture, aquaculture and post-harvest useful-service intensities remain constant per tonne through 2050.",2020 calibrated coefficients held,PJ/Mt,SRC_FIJI_V27_SOLVED,,,No source-traceable full-horizon efficiency pathway is available.,
ASM_FISH_CAPTURE_SCREENING_CEILING,"Aggregate capture activity is limited to the 2020 included offshore-longline plus coastal-commercial boundary through 2050.",23661,tonne/year,SRC_FSH_FIJI_MOF_AR2020_21,,,Prevents unsupported capture expansion without claiming a legal quota or biological stock trajectory.,Sensitivity required.
ASM_FISH_AQUACULTURE_PROGRAMME_CEILING,"Aggregate aquaculture activity uses observed 2021-2022 production through 2023 and detailed Aquaculture Development Plan Table 18 deliverables through 2028; the 2028 value is then held constant.","216.925;350;530;800;1180;1450",tonne/year,SRC_FSH_FIJI_MOF_AR2021_22 SRC_FSH_FIJI_AQUACULTURE_PLAN2024_28,,,A conservative programme envelope proxies feed site facility and environmental expansion limits.,Not a production target or resource-specific limit.
ASM_FISH_NO_PRODUCTION_FLOOR,"Capture and aquaculture retain TAL=0 in every year; imports remain open.",0,Mt/year,SRC_FIJI_V29_FISHERIES_BOUNDS_VALIDATION,,,Avoids forcing either subsector and preserves feasibility if domestic production is unavailable.,
ASM_FOOD_SHOCK_95PCT_DIAGNOSTIC,Disposable diagnostics cap domestic crop or fish production at 5 percent of normal supply to test import response.,0.05,fraction of normal domestic production,,0,1,Diagnostic stress only; it is not a central scenario or a forecast of drought severity.,
